platform,Rank,Name,Price,Chg 24H,Chg 7D,Market Cap,Vol (24h),IDO ROI USD,ATH IDO ROI USD,IDO Date,Raised,seedify,seedify,red kite,red kite,bscpad,bscpad,paid,paid,polka,polka,tpad,tpad,dao maker,dao maker,btc price,btc price,,,,init mcap,init FDMC,launchpad,symbol
PKF,,PolkaPetsPETS,$0.08,-3.17%,-7.91%,$ 235.64K,$ 1.59K,0.26,8.57,25 Oct 2021,"$100,000",,,0.26,8.57,,,,,,,,,,,,,,,PolkaPetsPETS,,,PKF
PKF,2033,DeFi11D11,$0.02,-1.80%,-28.30%,$ 124.51K,$ 66.16K,0.12,8.31,N/A,"$35,000",,,0.12,8.31,,,,,,,,,,,,,,,DeFi11D11,,,PKF
PKF,1850,GemUniGENI,$0.19,N/A,0.105,$ 652.44K,$ 77.67K,0.92,8.11,18 Jan,"$150,000",,,0.92,8.11,,,,,,,,,,,,,,,GemUniGENI,,,PKF
PKF,,ProjectXXIL,$0.02,0.041,-8.08%,$ 948.20K,$ 1.91K,0.53,5.95,8 Sep 2021,"$120,000",,,0.53,5.95,,,,,,,,,,,,,,,ProjectXXIL,,,PKF
PKF,1526,TribeOneHAKA,$0.08,-7.68%,-16.80%,$ 2.33M,$ 408.15K,0.68,4.92,22 Jun 2021,"$70,000",,,0.68,4.92,,,,,,,,,,,,,,,TribeOneHAKA,,,PKF
PKF,,World of CryptiaCRYPT,$0.00,-5.63%,-16.30%,$ 136.22K,$ 1.39K,0.1,4.72,7 Oct 2021,"$150,000",,,0.1,4.72,,,,,,,,,,,,,,,World of CryptiaCRYPT,,,PKF
PKF,2044,NftyPlayPOLO,$0.00,-4.42%,-17.50%,$ 108.87K,$ 169.13K,0.29,4.41,5 Aug 2021,"$81,000",,,0.29,4.41,,,,,,,,,,,,,,,NftyPlayPOLO,,,PKF
PKF,,NFTifyN1,$0.03,0.0574,-25.50%,$ 604.04K,$279.88,0.37,3.11,3 Jun 2021,"$100,000",,,0.37,3.11,,,,,,,,,,,,,,,NFTifyN1,,,PKF,N1
PKF,,Soccer HubSCH,$0.00,N/A,-3.24%,$ 203.49K,$898.75,0.17,3.06,27 Sep 2021,"$170,000",,,0.17,3.06,,,,,,,,,,,297.1357143,45.7589,,41599,Soccer HubSCH,,,PKF
PKF,,DopeWarzDRUG,$0.01,0.0417,-11.70%,$ 75.46K,$796.42,0.25,2.88,30 Nov 2021,"$125,000",,,0.25,2.88,,,,,,,,,,,,,,,DopeWarzDRUG,,,PKF
