id,rank,slug,name,symbol,category,startDate,endDate,type,tokensForSale,hardCap,raised,ICO_price,ieoPlatformExchange.id,ieoPlatformExchange.name,ieoPlatformExchange.slug,tokenRole,totalTokensForSale,status.code,,,,,,,,,,,,,,,,,
21402,170,serum,Serum,SRM,Exchange token,8/7/2020 0:00:00,8/7/2020 0:00:00,IEO,3000000,,,0.17,127,FTX,ftx,Utility,,200,,,,,,,,,,,,,,,,,
87,175,polymath-network,Polymath,POLY,Blockchain Service,,1/13/2018 0:00:00,ICO,0,,,0.4,,,,,,200,,,,,,,,,,,,,,,,,
90594,177,metisdao,MetisDAO,METIS,Blockchain Service,5/13/2021 0:00:00,5/13/2021 0:00:00,IDO,20000,,,5,,,,Utility,,200,,,,,,,,,,,,,,,,,
90594,177,metisdao,MetisDAO,METIS,Blockchain Service,5/13/2021 0:00:00,5/13/2021 0:00:00,IEO,10000,,,5,23,Gate.io,gateio,Utility,,200,,,,,,,,,,,,,,,,,
90594,177,metisdao,MetisDAO,METIS,Blockchain Service,,,Private,700000,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
90594,177,metisdao,MetisDAO,METIS,Blockchain Service,,,Seed,600000,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
90594,177,metisdao,MetisDAO,METIS,Blockchain Service,,,Strategic,150000,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
319,180,swissborg,SwissBorg,CHSB,Financial services,12/7/2017 0:00:00,1/10/2018 0:00:00,ICO,0,50000000,,0.1,,,,,,200,,,,,,,,,,,,,,,,,
29958,184,illuvium,Illuvium,ILV,Gaming,,,Seed,1500000,,,3.33,,,,,,200,,,,,,,,,,,,,,,,,
29958,184,illuvium,Illuvium,ILV,Gaming,3/30/2021 0:00:00,3/30/2021 0:00:00,IDO,1000000,,,50,,,,,,200,,,,,,,,,,,,,,,,,
29958,184,illuvium,Illuvium,ILV,Gaming,,,Seed,500000,,,,,,,,,200,,,,,,,,,,,,,,,,,
5323,187,nervos,Nervos Network,CKB,Blockchain infrastructure,10/16/2019 0:00:00,10/25/2019 0:00:00,ICO,0,,,0.01,,,,Utility,,200,,,,,,,,,,,,,,,,,
5323,187,nervos,Nervos Network,CKB,Blockchain infrastructure,,7/1/2018 0:00:00,Private/Pre-sale,0,28000000,,0.006,,,,Utility,,200,,,,,,,,,,,,,,,,,
3915,188,nucypher,NuCypher,NU,Network,12/12/2017 0:00:00,12/12/2017 0:00:00,Private,310000000,,,0.0142,,,,Utility,,200,,,,,,,,,,,,,,,,,
3915,188,nucypher,NuCypher,NU,Network,7/10/2019 0:00:00,7/10/2019 0:00:00,Private,80000000,,,0.13,,,,Utility,,200,,,,,,,,,,,,,,,,,
3915,188,nucypher,NuCypher,NU,Network,9/8/2016 0:00:00,9/8/2016 0:00:00,Private,0,,,,,,,Utility,,200,,,,,,,,,,,,,,,,,
3917,194,keep-network,Keep network,KEEP,Blockchain Service,,,ICO,0,,,,,,,,,200,,,,,,,,,,,,,,,,,
