,id,rank,slug,name,symbol,category,rounds,tokenRole,totalTokensForSale
52,7374,125.0,ecomi,Ecomi,OMI,Blockchain Service,"[{'startDate': '2019-05-12', 'endDate': '2019-05-14', 'type': 'IEO', 'tokensForSale': 780000, 'values': {'USD': {'price': 7.8e-05, 'raise': 780000}}, 'ieoPlatformExchange': {'id': 57, 'name': 'Bitforex', 'slug': 'bitforex'}}]",Utility,10000000000.0
53,162643,127.0,glimmer,Moonbeam,GLMR,Blockchain infrastructure,"[{'type': 'Seed', 'tokensForSale': 140000000, 'values': {'USD': {'price': 0.01, 'raise': 1400000}}}, {'type': 'Strategic', 'tokensForSale': 120000000, 'values': {'USD': {'price': 0.05, 'raise': 6000000}}}, {'startDate': '2021-09-07', 'endDate': '2021-09-10', 'type': 'ICO', 'tokensForSale': 100000000, 'values': {'USD': {'price': 0.25, 'raise': 24500000}}}]",Utility,
54,42,131.0,0x,0x Protocol,ZRX,Exchange token,"[{'startDate': '2017-08-12', 'endDate': '2017-08-16', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.048, 'hardCap': 24000000, 'raise': 24000000}, 'BTC': {'price': 1.15574273953821e-05}, 'ETH': {'price': 0.000164301388566327}}}]",,
55,3841,137.0,ankr-network,Ankr Network,ANKR,Cloud Computing,"[{'startDate': '2018-09-16', 'endDate': '2018-09-22', 'type': 'ICO', 'tokensForSale': 500000000, 'values': {'USD': {'price': 0.0066}, 'ETH': {'price': 2.876e-05}}}, {'startDate': '2018-04-01', 'endDate': '2018-07-01', 'type': 'Private/Pre-sale', 'tokensForSale': 3000000000, 'values': {'USD': {'price': 0.0044, 'raise': 15950000}}}]",Utility,
56,20649,140.0,just,Just,JST,Exchange token,"[{'startDate': '2020-02-01', 'endDate': '2020-02-01', 'type': 'Private', 'tokensForSale': 1089000000, 'values': {'USD': {'price': 0.003, 'raise': 4066920}}}, {'startDate': '2020-05-05', 'endDate': '2020-05-05', 'type': 'IEO', 'tokensForSale': 396000000, 'values': {'USD': {'hardCap': 799920, 'price': 0.00202, 'raise': 799920}, 'TRX': {'price': 0.124}}, 'ieoPlatformExchange': {'id': 13, 'name': 'Poloniex', 'slug': 'poloniex'}}]",Utility,1485000000.0
57,21001,141.0,skale,Skale,SKL,Network,"[{'startDate': '2020-09-03', 'endDate': '2020-09-05', 'type': 'ICO', 'tokensForSale': 167139884, 'values': {'USD': {'price': 0.03, 'raise': 5000000}}}]",Utility,
58,319,143.0,swissborg,SwissBorg,CHSB,Financial services,"[{'startDate': '2017-12-07', 'endDate': '2018-01-10', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.1, 'hardCap': 50000000, 'raise': 50000000}, 'BTC': {'price': 6.833e-06}, 'ETH': {'price': 0.0002374}}}]",,
59,2234,144.0,iotex,IoTeX,IOTX,IOT,"[{'endDate': '2018-02-15', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.007, 'raise': 14025000}, 'BTC': {'price': 7.152887226131e-07}, 'ETH': {'price': 1.25e-05}}}]",,
60,24,146.0,icon,ICON,ICX,Blockchain infrastructure,"[{'startDate': '2017-09-20', 'endDate': '2017-09-20', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.11, 'hardCap': 42800000, 'raise': 42750000}, 'BTC': {'price': 2.79340192188701e-05}, 'ETH': {'price': 0.0004, 'hardCap': 150000}}}]",,
61,3455,155.0,constellation,Constellation Labs,DAG,Blockchain infrastructure,"[{'endDate': '2018-06-15', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.0345}, 'BTC': {'price': 5.27340705659903e-06}, 'ETH': {'price': 6.667e-05}}}]",,
62,6192,157.0,oasis-network,Oasis Network,ROSE,Blockchain infrastructure,"[{'type': 'Private', 'tokensForSale': 0, 'values': {'USD': {'price': 0.03, 'raise': 45000000}}}, {'type': 'ICO', 'tokensForSale': 31500000, 'values': {}}]",Utility,
63,105,162.0,wax,WAX,WAXP,Gaming,"[{'startDate': '2017-11-15', 'endDate': '2017-11-29', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.32, 'hardCap': 9600000, 'raise': 9600000}, 'BTC': {'price': 2.8919e-05}, 'ETH': {'price': 0.00067, 'hardCap': 20000}}}]",,
64,1546,165.0,ontology,Ontology,ONT,Blockchain infrastructure,"[{'endDate': '2018-01-08', 'type': 'ICO', 'tokensForSale': 0, 'values': {'USD': {'price': 0.2}, 'BTC': {'price': 1.262e-05}}}]",Utility,
65,172503,166.0,gensokishi,GensoKishi,MV,Gaming,"[{'startDate': '2022-01-16', 'endDate': '2022-01-18', 'type': 'IDO', 'tokensForSale': 10526421, 'values': {'USD': {'price': 0.019, 'raise': 200002}}}, {'type': 'Private', 'tokensForSale': 100000000, 'values': {}}]",Utility,
66,8276,170.0,swipe,Swipe,SXP,Financial services,"[{'startDate': '2019-08-01', 'endDate': '2019-08-01', 'type': 'Private', 'tokensForSale': 19575000, 'values': {'USD': {'price': 0.2, 'raise': 3915000}}}, {'startDate': '2019-08-02', 'endDate': '2019-08-09', 'type': 'ICO', 'tokensForSale': 40425000, 'values': {'USD': {'price': 0.2, 'raise': 8085000}}}]",Utility,
67,163753,172.0,astar-network,Astar Network,ASTR,Blockchain Service,"[{'startDate': '2022-01-16', 'endDate': '2022-01-17', 'type': 'IEO', 'tokensForSale': 800000, 'values': {'USD': {'price': 0.25, 'raise': 200000}}, 'ieoPlatformExchange': {'id': 23, 'name': 'Gate.io', 'slug': 'gateio'}}, {'type': 'Seed', 'tokensForSale': 0, 'values': {'USD': {'raise': 2400000}}}]",Utility,
